Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Infiltration Standard Density Volume Flow Rate [m3/s](Hourly),MAINZONE:Zone Air System Sensible Heating Energy [J](Hourly),MAINZONE:Zone Air System Sensible Cooling Energy [J](Hourly),MAINZONE:Zone Air CO2 Concentration [ppm](Hourly),MAINZONE:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),LAB_HX:Heat Exchanger Sensible Heating Energy [J](Hourly),SUPPLY_FAN:Fan Electricity Energy [J](Hourly),EXHAUST_FAN:Fan Electricity Energy [J](Hourly),ERV_SA_OUTLET:System Node Temperature [C](Hourly),Electricity:Facility [J](Hourly) 
 01/02  14:00:00,-7.375,3.375,20.214192064238908,0.0036628921835774584,505933.16483639856,187050.35453070543,795.9720472905573,2.2966277306516214e-8,4203388.16135154,12473.165075164065,12473.165075164065,16.296503508343726,243826.33015032817 
 01/02  15:00:00,-6.4375,3.0,21.624637902408153,0.0035899957614894287,0.0,589749.2050237072,776.0287859198365,1.4332782234353049e-8,4212096.83014493,8741.924827557585,8741.924827557585,17.26908443157624,6796283.849655115 
 01/02  16:00:00,-6.6625,2.375,22.51391067977032,0.0034799662402284727,0.0,709282.5187512412,862.9989818592298,8.026585044240532e-9,4414439.882879594,14508.757343061247,14508.757343061247,18.196617770964625,8337817.514686123 
 01/02  17:00:00,-8.25,2.0,22.521035719852186,0.003435526978050565,0.0,812049.1620057992,889.4984323645396,3.5361638666592185e-9,4659646.501332153,18478.551866317743,18478.551866317743,18.008692819951783,8345757.103732636 
 01/02  18:00:00,-8.375,2.0,22.555720878030183,0.0034553968954476643,0.0,822550.2968634118,893.356910006836,1.5272774743747186e-9,4680574.870743462,18744.036887998802,18744.036887998802,18.00722754543583,8346288.073775997 
 01/02  19:00:00,-9.25,2.0,20.23544002235667,0.0034595698239406137,562794.5125233914,193569.50166540395,788.5054100257966,8.642165867764375e-10,4490811.892761573,12163.562864064168,12163.562864064168,16.042332167396513,24327.125728128336 
 01/02  20:00:00,-10.0,2.0,20.000000027318144,0.0034583245007173786,872890.5611356902,0.0,631.9842129415126,5.116943238023205e-10,4542076.543036729,4185.812054161122,4185.812054161122,15.54214907277537,8371.624108322245 
 01/02  21:00:00,-9.3125,2.0,20.000000000000146,0.003467042938136181,954011.2814899147,0.0,558.1657754990554,3.4902874589918816e-10,4438961.989310675,1958.6477243650402,1958.6477243650402,15.633998056372242,3917.2954487300804 
 01/02  22:00:00,-9.5875,1.375,20.0,0.0033978345512962515,1008080.7716365444,0.0,519.3034439195557,2.632650376675726e-10,4480330.831519306,1416.9838226439313,1416.9838226439313,15.592119692255112,2833.9676452878625 
 01/02  23:00:00,-10.0,1.0,20.0,0.003361274443776734,1056588.6445168422,0.0,494.7942829329935,2.0918120388083878e-10,4542385.6866506245,1197.526181042761,1197.526181042761,15.532533382823669,2395.052362085522 
 01/02  24:00:00,-9.25,1.0,20.0,0.0033678089976245016,1084323.9419412524,0.0,477.9279258959082,1.7196244853440953e-10,4429382.629560343,1084.7438844832238,1084.7438844832238,15.648602212090715,2169.4877689664477 
 01/03  01:00:00,-9.55,1.0,20.0,0.0033651997825193047,1124596.2506659112,0.0,465.62149682994755,1.4480602618059497e-10,4474584.110403834,1017.3115088048756,1017.3115088048756,15.607900001864438,2034.6230176097513 
 01/03  02:00:00,-10.0,1.0,20.0,0.003361274443776734,1163093.7934998951,0.0,456.2014426553685,1.2401892626083772e-10,4542385.6866506245,972.3391866633715,972.3391866633715,15.545238683579743,1944.678373326743 
 01/03  03:00:00,-9.6875,1.625,20.0,0.0034277081057781165,1197284.6898267865,0.0,448.76372476040575,1.0760621968990453e-10,4495051.550952523,942.6120385913385,942.6120385913385,15.59687146394869,1885.224077182677 
 01/03  04:00:00,-10.4375,2.625,20.0,0.0035694245187956413,1259153.8389843467,0.0,442.52123925033436,9.383101546774714e-11,4608046.159025998,938.1952488431534,938.1952488431534,15.485207207973973,1876.3904976863068 
 01/03  05:00:00,-11.0,2.375,20.0,0.003527322860341697,1289592.2356529161,0.0,437.02497280874405,8.170248227849691e-11,4692879.194115752,938.1908111104028,938.1908111104028,15.400823720631841,1876.3816222208056 
 01/03  06:00:00,-10.3125,2.625,20.0,0.0035729456823440716,1306725.3962144712,0.0,432.2722834426207,7.121479007365054e-11,4589371.777197314,938.1869671065361,938.1869671065361,15.503939451280717,1876.3739342130723 
 01/03  07:00:00,-10.5875,2.375,20.0,0.0035303693046053655,1328955.1433445464,0.0,428.1154652232978,6.204199827570561e-11,4630774.428396373,938.18360846927,938.18360846927,15.462683195546328,1876.36721693854 
 01/03  08:00:00,-11.625,2.0,20.0,0.0034797268424919467,1364130.5022444571,0.0,424.52250638723234,5.41134669801555e-11,4787490.160352007,938.180700139899,938.180700139899,15.307052132871233,1876.361400279798 
 01/03  09:00:00,-11.624999999999998,2.0,20.0,0.003494027245961823,1378914.2276196603,0.0,421.3959083785487,4.721404750681745e-11,4787779.335566215,938.1781735530379,938.1781735530379,15.307045059067407,1876.3563471060759 
 01/03  10:00:00,-11.15,3.25,20.0,0.00370489515314704,1384215.2980715039,0.0,418.6477443581223,4.114971294708266e-11,4716410.237480302,938.1759646599196,938.1759646599196,15.378289481978545,1876.3519293198392 
 01/03  11:00:00,-11.0,5.25,20.0,0.004244541994438191,1466304.474432466,0.0,416.14000915951914,3.561592925785731e-11,4693918.420935286,938.173966918063,938.173966918063,15.400788168014785,1876.347933836126 
 01/03  12:00:00,-10.5625,4.125,20.0,0.003925421686337371,1453419.0537759967,0.0,413.91144103803066,3.069817959757046e-11,4628220.102747491,938.1721546233573,938.1721546233573,15.46641366185831,1876.3443092467146 
 01/03  13:00:00,-9.4875,3.625,20.0,0.003757410430868856,1437410.799364397,0.0,412.08624875578704,2.6670553679648452e-11,4465845.766484218,938.1706634023933,938.1706634023933,15.627659910572746,1876.3413268047866 
 01/03  14:00:00,-8.375,3.375,20.0,0.003675888468488741,1426185.8958879262,0.0,410.4983353485742,2.3166527689331843e-11,4298012.137612737,938.1693801803044,938.1693801803044,15.79453070816173,1876.3387603606088 
 01/03  15:00:00,-7.375,3.625,20.0,0.003717367459625318,1435430.3640195846,0.0,409.13144502562665,2.0150230203735502e-11,4147557.353522375,938.1682742586443,938.1682742586443,15.944525495181836,1876.3365485172885 
 01/03  16:00:00,-6.375,4.625,20.0,0.00396607999977658,1471644.2097910405,0.0,407.9194332308112,1.7475700969136292e-11,3996378.3339214334,938.1673010339761,938.1673010339761,16.094522549435382,1876.3346020679521 
 01/03  17:00:00,-6.625,3.75,20.0,0.00374362084086404,1475041.6123050374,0.0,406.85903338050286,1.5135731661786476e-11,4034285.839446188,938.1664399745991,938.1664399745991,16.057021583521877,1876.3328799491983 
 01/03  18:00:00,-6.6875,3.625,20.000000000000004,0.0037164535664828014,1492729.408538144,0.0,405.9667292732283,1.3166696846062907e-11,4044807.677094037,938.1657150583643,938.1657150583643,16.047640811036207,1876.3314301167286 
 01/03  19:00:00,-6.8125,4.0,20.0,0.0038034565377521178,1523938.2462585345,0.0,405.18308624146147,1.1437442884248221e-11,4063338.577627425,938.1650837760014,938.1650837760014,16.028887842561588,1876.3301675520029 
 01/03  20:00:00,-6.375,4.625,20.0,0.00396607999977658,1552568.2120320192,0.0,404.49493682482364,9.918913328312104e-12,3996378.333921434,938.1645293554379,938.1645293554379,16.09451181406174,1876.3290587108759 
 01/03  21:00:00,-6.0625,5.625,20.0,0.004296036789921962,1601390.2483647647,0.0,403.88133056845106,8.564877106700056e-12,3949521.0574729377,938.1640368765256,938.1640368765256,16.14138599980562,1876.3280737530513 
 01/03  22:00:00,-6.0375,6.0,20.0,0.0044284816116423684,1632595.2354878213,0.0,403.3370339641985,7.36378551122768e-12,3945516.5401538014,938.16359792278,938.16359792278,16.14513810968073,1876.32719584556 
 01/03  23:00:00,-6.625,6.0,20.0,0.004432780098303787,1663134.2838174326,0.0,402.86689623971955,6.326339263769009e-12,4034285.839446188,938.1632167509912,938.1632167509912,16.057015084655593,1876.3264335019824 
 01/03  24:00:00,-7.0625,5.375,20.0,0.004222868416909336,1663241.9546254794,0.0,402.46649836540996,5.4427869543827784e-12,4100819.5405659927,938.1628905618423,938.1628905618423,15.991389389020572,1876.3257811236847 
 01/04  01:00:00,-7.6625,4.375,20.0,0.003917656468884627,1652661.2331859842,0.0,402.1329825115266,4.706822250715027e-12,4190975.6604589336,938.1626179916559,938.1626179916559,15.901387686556358,1876.3252359833118 
 01/04  02:00:00,-8.0,4.0,20.0,0.003815600530982964,1659870.2723766959,0.0,401.8513726269594,4.085397713223893e-12,4241590.191249482,938.1623892900361,938.1623892900361,15.850759037179031,1876.3247785800722 
 01/04  03:00:00,-7.75,4.625,20.0,0.003991444038407015,1690386.9505237653,0.0,401.60612813874087,3.5442201799932206e-12,4203962.971295492,938.1621916790351,938.1621916790351,15.88825473291852,1876.3243833580702 
 01/04  04:00:00,-7.225,3.75,20.0,0.0037554630481978772,1664956.4467985944,0.0,401.3921148232226,3.0719600325297587e-12,4124282.1608678643,938.162017933915,938.162017933915,15.967002846272008,1876.32403586783 
 01/04  05:00:00,-7.0,4.25,20.0,0.0038779484829456336,1689736.9076679994,0.0,401.2106522221705,2.671529084929527e-12,4089407.202859289,938.1618711063968,938.1618711063968,16.00075099122175,1876.3237422127936 
 01/04  06:00:00,-6.812499999999999,4.375,20.0,0.0039007989679626714,1702262.571261549,0.0,401.0489580226832,2.314720788637335e-12,4061430.000910776,938.1617408588597,938.1617408588597,16.028874543424102,1876.3234817177195 
 01/04  07:00:00,-6.8875,4.0,20.0,0.0037988694335892837,1703905.9413251767,0.0,400.9107798524923,2.009804980605957e-12,4073687.5138800633,938.1616285864961,938.1616285864961,16.017621043492436,1876.3232571729923 
 01/04  08:00:00,-7.0,4.625,20.0,0.0039754441044861505,1740568.4834354818,0.0,400.79045519632393,1.7442862687074306e-12,4090876.784497538,938.1615316591817,938.1615316591817,16.00074318934553,1876.3230633183634 
 01/04  09:00:00,-6.6875,5.0,20.0,0.004078864816969795,1759815.9242804814,0.0,400.68384433245103,1.5090295877300041e-12,4043707.190198358,938.16144576039,938.16144576039,16.047617113993027,1876.32289152078 
 01/04  10:00:00,-6.1875,6.25,20.0,0.004530741855268007,1808027.282729063,0.0,400.58969704062906,1.3012760943950115e-12,3967354.86174969,938.161370235825,938.161370235825,16.12261877334096,1876.32274047165 
 01/04  11:00:00,-6.625,5.75,20.0,0.004348644432109784,1802263.1190404703,0.0,400.5058257418367,1.1161984891078652e-12,4034626.562321949,938.1613022739623,938.1613022739623,16.05699610856675,1876.3226045479246 
 01/04  12:00:00,-6.562500000000001,3.75,20.0,0.003736242267780936,1740312.4621694433,0.0,400.437789025107,9.660628314368647e-13,4026284.927319763,938.1612461413742,938.1612461413742,16.066367073912467,1876.3224922827485 
 01/04  13:00:00,-6.1125,4.25,20.0,0.0038593733298268665,1760540.7066657227,0.0,400.3809111203593,8.40551165872553e-13,3957944.683300335,938.1612001311349,938.1612001311349,16.13386136955915,1876.3224002622699 
 01/04  14:00:00,-6.0,4.375,20.0,0.0038882113965026245,1776083.7284772617,0.0,400.33022360912287,7.286997538560622e-13,3940692.8583410634,938.1611592996544,938.1611592996544,16.150734150022515,1876.3223185993088 
 01/04  15:00:00,-5.375,4.625,20.0,0.003950583591634015,1787599.8932192768,0.0,400.28659702710445,6.324295941823179e-13,3846008.1925877132,938.1611239862082,938.1611239862082,16.24448171201704,1876.3222479724163 
 01/04  16:00:00,-5.0,4.375,20.0,0.003873426407307155,1792142.2748133705,0.0,400.2484072310805,5.481567130377878e-13,3789850.220132456,938.1610930952216,938.1610930952216,16.30072915077443,1876.3221861904433 
