Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Infiltration Standard Density Volume Flow Rate [m3/s](Hourly),MAINZONE:Zone Air System Sensible Heating Energy [J](Hourly),MAINZONE:Zone Air System Sensible Cooling Energy [J](Hourly),MAINZONE:Zone Air CO2 Concentration [ppm](Hourly),MAINZONE:Zone Air Generic Air Contaminant Concentration [ppm](Hourly),LAB_HX:Heat Exchanger Sensible Heating Energy [J](Hourly),SUPPLY_FAN:Fan Electricity Energy [J](Hourly),EXHAUST_FAN:Fan Electricity Energy [J](Hourly),ERV_SA_OUTLET:System Node Temperature [C](Hourly),Electricity:Facility [J](Hourly) 
 01/03  07:00:00,-10.5875,2.375,17.731633450557386,0.03671903016564223,2573379.7266021725,0.0,400.0048107116419,0.1941228954401747,2861434.337570565,12496.024591999203,12496.024591999203,13.61447479567483,24992.049183998406 
 01/03  08:00:00,-11.625,2.0,17.565820864597743,0.036773281356676304,2563132.944350471,0.0,400.0020528623335,0.08283755290293243,2950362.7426273297,12496.024591999203,12496.024591999203,13.32774150768448,24992.049183998406 
 01/03  09:00:00,-11.624999999999998,2.0,17.526686110947796,0.03692440608114898,2530328.9036618154,0.0,400.0008835669872,0.03565388961623067,2938913.8886080645,12496.024591999203,12496.024591999203,13.229800417149164,24992.049183998406 
 01/03  10:00:00,-11.15,3.25,17.95722222926995,0.03679429811623909,2491713.676983601,0.0,400.00037542115496,0.015149077102409782,2924511.807574652,12496.024591999203,12496.024591999203,13.580688532284771,24992.049183998406 
 01/03  11:00:00,-11.0,5.25,18.509558009534537,0.036680568035514505,2494030.5967523055,0.0,400.0001533399731,0.0061876083573894495,2965948.867171798,12496.024591999203,12496.024591999203,14.078529080216166,24992.049183998406 
 01/03  12:00:00,-10.5625,4.125,18.907914253083405,0.036776306350258685,2513584.1191995055,0.0,400.0000603341388,0.002434616452641018,2966710.5088996678,12496.024591999203,12496.024591999203,14.51957485726794,24992.049183998406 
 01/03  13:00:00,-9.4875,3.625,19.08880128253427,0.03656351003880898,2548307.740666075,0.0,400.000023223879,0.000937135070439665,2882425.7984147207,12496.024591999203,12496.024591999203,14.88274519691309,24992.049183998406 
 01/03  14:00:00,-8.375,3.375,19.121597158575163,0.036313752483518015,2578429.3858398567,0.0,400.0000088748003,0.00035811789247260214,2777424.4586215494,12496.024591999203,12496.024591999203,15.107752376135107,24992.049183998406 
 01/03  15:00:00,-7.375,3.625,19.02584786512687,0.03617246290800019,2605290.2254812145,0.0,400.00000340962595,0.00013758596773647385,2669800.413783703,12496.024591999203,12496.024591999203,15.196320091524012,24992.049183998406 
 01/03  16:00:00,-6.375,4.625,18.867792530070165,0.0360372179334824,2631566.4007489635,0.0,400.0000013271293,0.00005355261446285682,2554652.519457964,12496.024591999203,12496.024591999203,15.22549908082765,24992.049183998406 
