Hour,T_out_C,T_in_C,CO2_ppm
384,-0.85,8.882902916795285,403.5843117804316
385,-1.0,8.849536084271652,401.61741550113976
386,-1.0,8.818529131801204,400.7278517510451
387,-1.0,8.787952127252865,400.327432628021
388,-1.0,8.755685561000625,400.1473304029385
389,-0.875,8.72373600461391,400.0663198078449
390,-0.925,8.687260291964462,400.0298784981777
391,-1.0,8.644634065814168,400.0134407161876
392,-1.0,8.60823924118366,400.0060382135788
393,-1.0,8.566577710486886,400.002722678149
394,-1.0,8.524854787593473,400.00121730195474
395,-1.1875,8.491878548455515,400.0005458758088
396,-1.7375,8.44932331428221,400.0002458070762
397,-2.0,8.42150439713227,400.00011028861576
398,-2.0,8.416023023953773,400.0000493901179
399,-2.0,8.423782680761743,400.0000220296183
400,-2.625,8.425325397653056,400.0000098046985
401,-2.6875,8.4447910746998,400.0000043546663
402,-2.8125,8.45945398887368,400.0000019490111
403,-3.0,8.446080045296075,400.0000008694019
404,-3.3125,8.42225240032861,400.0000003879501
405,-3.8125,8.372408717858207,400.0000001737729
406,-4.0,8.310976259830126,400.0000000775224
407,-4.125,8.253283822005695,400.00000003464
408,-4.7,8.166455581945492,400.0000000155785
409,-5.0,8.066526365722808,400.00000000695854
410,-4.625,7.992837935903934,400.0000000031113
411,-4.15,7.903730991463792,400.0000000013989
412,-4.625,7.783670779788874,400.00000000062187
413,-4.6875,7.691681720544285,400.000000000277
414,-4.8125,7.592062026625775,400.00000000012494
415,-5.0,7.476573872216174,400.00000000005593
416,-4.875,7.385447458334248,400.00000000002507
417,-4.925,7.284319085287241,400.0000000000113
418,-5.0,7.179522346475064,400.00000000000495
419,-4.625,7.0969787252526615,400.0000000000023
420,-4.15,7.0141662119401005,400.00000000000097
421,-4.0,6.933581635818556,400.00000000000057
422,-4.0,6.868719255215161,400.00000000000017
423,-4.0,6.816705458708811,400.00000000000017
424,-4.0,6.779008452186033,400.0000000000002
425,-4.125,6.750377061515242,400.00000000000006
426,-4.075,6.713430074771907,400.00000000000017
427,-4.0,6.668714887564713,400.0000000000002
428,-4.125,6.626575984474069,400.0000000000002
429,-4.075,6.575917981925616,400.0000000000003
430,-4.0,6.515022832931993,400.00000000000034
431,-4.0625,6.4621342582712815,400.0000000000001
432,-4.0375,6.404530924204592,400.0
433,-4.0,6.344407958842959,400.00000000000034
434,-4.0,6.2886512579212885,400.00000000000034
435,-4.0,6.22969990872449,400.00000000000034
436,-4.0,6.174600703486181,400.00000000000045
437,-4.1875,6.1214795094492285,400.0000000000003
438,-4.7375,6.0559918400831,400.00000000000017
439,-5.0,5.9940027168613,400.0
440,-4.6875,5.948330312239312,400.00000000000017
441,-4.8125,7.739845492010314,519.9892568370173
442,-5.0,8.053120545462242,728.129694045045
443,-4.5625,8.10752932046852,837.1584930290662
444,-4.7375,6.706495336847856,779.3207292723325
445,-4.375,7.923270782751539,777.1243987511264
446,-2.0,8.239464570936393,855.6020858699259
447,-3.425,8.351069596417876,894.9554709799854
448,-4.375,8.467832969190969,913.0483203520575
449,-3.875,8.63027931869352,920.6815482054768
450,-3.925,6.967240739901724,803.170149521196
451,-4.0,6.693608102911077,597.6836397146344
452,-4.125,6.676720143286087,489.5727312325114
453,-4.075,6.659303868201313,440.7922903828649
454,-4.0,6.637267186792615,418.588501608025
455,-4.25,6.602523653207316,408.4715803010466
456,-4.15,6.56875194696446,403.8583886031101
457,-4.0,6.534492398057904,401.7618590314306
458,-4.0,6.491950198397946,400.80523027538254
459,-4.0,6.446633925727471,400.367907353749
460,-3.375,6.410358518845231,400.1681275598641
