Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Infiltration Standard Density Volume Flow Rate [m3/s](Hourly),MAINZONE:Zone Air System Sensible Heating Energy [J](Hourly),MAINZONE:Zone Air System Sensible Cooling Energy [J](Hourly),MAINZONE:Zone Air CO2 Concentration [ppm](Hourly),LAB_HX:Heat Exchanger Sensible Heating Energy [J](Hourly),SUPPLY_FAN:Fan Electricity Energy [J](Hourly),EXHAUST_FAN:Fan Electricity Energy [J](Hourly),ERV_SA_OUTLET:System Node Temperature [C](Hourly),Electricity:Facility [J](Hourly) 
 01/05  22:00:00,-13.9875,0.75,20.0,0.0034247884266750328,1106628.490356416,0.0,438.3450669883133,5143300.258841027,18744.036887998802,18744.036887998802,15.005837805438052,37488.073775997604 
 01/05  23:00:00,-15.625,0.0,20.0,0.003402077291543328,1179230.3230414786,0.0,417.75737899963667,5390304.16836169,18744.036887998802,18744.036887998802,14.760183005628138,37488.073775997604 
 01/05  24:00:00,-14.625,1.25,20.0,0.0034796348587614366,1217305.0993197612,0.0,408.2414294362843,5239914.773385433,18744.036887998802,18744.036887998802,14.910151217455061,37488.073775997604 
 01/06  01:00:00,-15.8,0.75,20.0,0.0034506650668225144,1269839.6980744582,0.0,403.83991932455234,5416824.914335385,18744.036887998802,18744.036887998802,14.733883197789805,37488.073775997604 
 01/06  02:00:00,-17.0,0.0,20.0,0.003420572293008331,1317518.7621830173,0.0,401.786292457423,5597100.004665597,18744.036887998802,18744.036887998802,14.553866199210399,37488.073775997604 
 01/06  03:00:00,-15.687499999999998,0.625,20.0,0.0034507780397649178,1329908.922967808,0.0,400.8322446374022,5399643.6565322615,18744.036887998802,18744.036887998802,14.750721726096767,37488.073775997604 
 01/06  04:00:00,-17.4625,0.375,20.0,0.0034535412098171256,1388653.6075069376,0.0,400.3895968164445,5666717.960931268,18744.036887998802,18744.036887998802,14.48446447945614,37488.073775997604 
 01/06  05:00:00,-19.0,0.0,20.0,0.0034476550696478695,1441677.813319959,0.0,400.18197083291045,5898017.950628399,18744.036887998802,18744.036887998802,14.25382872341155,37488.073775997604 
 01/06  06:00:00,-17.4375,0.625,20.0,0.003476309884437987,1446247.3664403623,0.0,400.0851131212918,5662970.299315002,18744.036887998802,18744.036887998802,14.488188026571788,37488.073775997604 
 01/06  07:00:00,-18.6875,0.375,20.0,0.003471300791893555,1492872.8079398866,0.0,400.03999065672474,5851059.891953691,18744.036887998802,18744.036887998802,14.300683353801587,37488.073775997604 
 01/06  08:00:00,-20.625,0.0,20.0,0.0034698422259233225,1550352.4085095227,0.0,400.01873739641576,6142728.441427577,18744.036887998802,18744.036887998802,14.010051181548965,37488.073775997604 
 01/06  09:00:00,-19.125,0.625,20.0,0.0035016107269403764,1544377.5082869597,0.0,400.00879540734445,5917001.514694341,18744.036887998802,18744.036887998802,14.23503769412967,37488.073775997604 
