Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),MAINZONE:Zone Mean Air Temperature [C](Hourly),MAINZONE:Zone Air CO2 Concentration [ppm](Hourly),LAB_HX:Heat Exchanger Sensible Heating Energy [J](Hourly),SUPPLY_FAN:Fan Electricity Energy [J](Hourly),EXHAUST_FAN:Fan Electricity Energy [J](Hourly),ERV_SA_OUTLET:System Node Temperature [C](Hourly),Electricity:Facility [J](Hourly) 
 01/06  19:00:00,-15.1,0.375,0.702141542148669,817.9218686985379,2423684.4336148873,18751.537502999996,18751.537502999996,-1.3789369760606913,9037503.075006 
 01/06  20:00:00,-17.25,0.0,0.2986254446611901,608.4694564582194,2659992.519843151,18751.537502999996,18751.537502999996,-2.1970195284496956,9037503.075006 
 01/06  21:00:00,-16.625,0.625,0.2184448861699664,496.34235640640304,2549814.732646418,18751.537502999996,18751.537502999996,-2.192813012623854,9037503.075006 
 01/06  22:00:00,-17.8,0.375,0.11623832305533785,445.0856587889547,2715552.7841296457,18751.537502999996,18751.537502999996,-2.4341136464230297,9037503.075006 
 01/06  23:00:00,-20.25,0.0,-0.038996047848043676,420.95723583224014,3061820.0341575644,18751.537502999996,18751.537502999996,-2.933324088576987,9037503.075006 
 01/06  24:00:00,-18.5,1.25,-0.13475914851965176,409.7463432709742,2779793.620246836,18751.537502999996,18751.537502999996,-2.772364266954469,9037503.075006 
 01/07  01:00:00,-18.875,0.75,-0.2606209209110264,404.5566169238046,2822162.252606609,18751.537502999996,18751.537502999996,-2.908194131480038,9037503.075006 
 01/07  02:00:00,-20.625,0.0,-0.44948883827113584,402.1198598434594,3057444.4762967397,18751.537502999996,18751.537502999996,-3.3322469119959246,9037503.075006 
 01/07  03:00:00,-18.5,1.25,-0.5821511434614612,400.9868937850684,2713666.688845889,18751.537502999996,18751.537502999996,-3.1437284728550914,9037503.075006 
 01/07  04:00:00,-19.5,0.75,-0.7603371819278233,400.4616935266382,2842932.3697967934,18751.537502999996,18751.537502999996,-3.4143957496153083,9037503.075006 
 01/07  05:00:00,-19.125,0.0,-0.9490828217746158,400.2150775390411,2753759.9029330695,18751.537502999996,18751.537502999996,-3.5412127384038103,9037503.075006 
 01/07  06:00:00,-18.4375,1.875,-1.121561625127955,400.1002683537397,2626972.720800253,18751.537502999996,18751.537502999996,-3.568786288410678,9037503.075006 
 01/07  07:00:00,-18.2625,1.125,-1.3126986271294465,400.0468688366012,2570028.639955936,18751.537502999996,18751.537502999996,-3.713793964584207,9037503.075006 
 01/07  08:00:00,-18.625,0.0,-1.5062734838534517,400.02187057310255,2597035.9941607383,18751.537502999996,18751.537502999996,-3.923473355831139,9037503.075006 
 01/07  09:00:00,-21.1875,0.0,-1.747417390774996,400.0102155741055,2949081.9364682576,18751.537502999996,18751.537502999996,-4.50336177851658,9037503.075006 
 01/07  10:00:00,-19.0625,0.0,-0.046381355151142,520.7509864151934,2847465.4760776176,18751.537502999996,18751.537502999996,-2.9528247580721727,15546303.075006 
 01/07  11:00:00,-16.375,0.625,0.22518431297494226,732.5345674732912,2510774.1165702688,18751.537502999996,18751.537502999996,-2.1620715066974165,15546303.075006 
 01/07  12:00:00,-15.875,1.625,0.16820943983395908,846.3780523243374,2429178.872786367,18751.537502999996,18751.537502999996,-2.122390722175296,15546303.075006 
 01/07  13:00:00,-14.05,1.375,-1.3090202648049425,791.735078267245,1953611.8953436862,18751.537502999996,18751.537502999996,-2.9718290070316513,10339263.075006 
 01/07  14:00:00,-12.375,1.625,-0.16006212105579362,789.5441593800192,1821110.2011440366,18751.537502999996,18751.537502999996,-2.043568737160867,15546303.075006 
 01/07  15:00:00,-12.0,2.0,0.058522324469617686,867.7377117822277,1821906.2752085156,18751.537502999996,18751.537502999996,-1.6648135964304975,15546303.075006 
 01/07  16:00:00,-12.0,2.0,0.12229297537872232,908.096244886478,1831353.9990551088,18751.537502999996,18751.537502999996,-1.6117736343759483,15546303.075006 
 01/07  17:00:00,-11.375,2.0,0.21909691397754516,926.5777935576208,1749958.4324909463,18751.537502999996,18751.537502999996,-1.445162729734153,15546303.075006 
 01/07  18:00:00,-10.875,2.0,0.3383529183392212,935.4839085012024,1692359.3609810472,18751.537502999996,18751.537502999996,-1.2707068485917161,15546303.075006 
 01/07  19:00:00,-10.3,3.25,-1.359244691638002,818.6315823540197,1383699.1656035217,18751.537502999996,18751.537502999996,-2.4288132387901085,9037503.075006 
 01/07  20:00:00,-10.0,2.75,-1.6655874610315828,608.8458256905614,1263439.222967865,18751.537502999996,18751.537502999996,-2.803733539630889,9037503.075006 
 01/07  21:00:00,-10.1875,2.625,-1.6995489270707378,496.76023906687783,1286113.6007142027,18751.537502999996,18751.537502999996,-2.8647042872413997,9037503.075006 
